scenario	t	n	l	m	exp.delta	bs	alpha0	rho0	rho1	alpha1	CV.l	CV.m	seed	niteration
1	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0	0	3985	1000
2	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0	0.25	3885	1000
3	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0	0.5	3886	1000
4	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0	0.75	3887	1000
5	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.25	0	3888	1000
6	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.25	0.25	3889	1000
7	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.25	0.5	3890	1000
8	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.25	0.75	3891	1000
9	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.5	0	3892	1000
10	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.5	0.25	3893	1000
11	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.5	0.5	3894	1000
12	4	15	3	10	1	0.7	0.1	0.025	0.0125	0.05	0.5	0.75	3895	1000
13	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0	0	3978	1000
14	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0	0.25	3778	1000
15	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0	0.5	3779	1000
16	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0	0.75	3780	1000
17	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.25	0	3781	1000
18	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.25	0.25	3782	1000
19	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.25	0.5	3783	1000
20	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.25	0.75	3784	1000
21	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.5	0	3785	1000
22	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.5	0.25	3786	1000
23	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.5	0.5	3787	1000
24	5	12	3	14	1	0.7	0.01	0.0025	0.00125	0.005	0.5	0.75	3788	1000
25	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0	0	3964	1000
26	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0	0.25	3664	1000
27	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0	0.5	3665	1000
28	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0	0.75	3666	1000
29	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0	3667	1000
30	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0.25	3668	1000
31	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0.5	3669	1000
32	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0.75	3670	1000
33	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0	3671	1000
34	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0.25	3672	1000
35	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0.5	3673	1000
36	6	30	3	10	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0.75	3674	1000
37	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0	0	3958	1000
38	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0	0.25	3558	1000
39	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0	0.5	3559	1000
40	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0	0.75	3560	1000
41	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0	3561	1000
42	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0.25	3562	1000
43	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0.5	3563	1000
44	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.25	0.75	3564	1000
45	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0	3565	1000
46	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0.25	3566	1000
47	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0.5	3567	1000
48	7	18	6	15	1	0.7	0.03	0.0075	0.00375	0.015	0.5	0.75	3568	1000
