scenario	t	delta	alpha0	rho0	rho1	alpha1	n	l	m	bs	tot.var	CV.l	CV.m	seed	niteration
1	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0	7666	1000
2	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0.25	6666	1000
3	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0.5	6667	1000
4	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0.75	6668	1000
5	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0	6669	1000
6	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0.25	6670	1000
7	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0.5	6671	1000
8	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0.75	6672	1000
9	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0	6673	1000
10	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0.25	6674	1000
11	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0.5	6675	1000
12	4	0.5	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0.75	6676	1000
13	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0	7665	1000
14	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0.25	5659	1000
15	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0.5	5660	1000
16	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0.75	5661	1000
17	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0	5662	1000
18	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0.25	5663	1000
19	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0.5	5664	1000
20	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0.75	5665	1000
21	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0	5666	1000
22	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0.25	5667	1000
23	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0.5	5668	1000
24	5	0.4	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0.75	5669	1000
25	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0	7645	1000
26	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0.25	4644	1000
27	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0.5	4645	1000
28	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0.75	4646	1000
29	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0	4647	1000
30	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0.25	4648	1000
31	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0.5	4649	1000
32	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0.75	4650	1000
33	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0	4651	1000
34	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0.25	4652	1000
35	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0.5	4653	1000
36	6	0.2	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0.75	4654	1000
37	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0	7639	1000
38	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0.25	3639	1000
39	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0.5	3640	1000
40	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0.75	3641	1000
41	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0	3642	1000
42	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0.25	3643	1000
43	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0.5	3644	1000
44	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0.75	3645	1000
45	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0	3646	1000
46	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0.25	3647	1000
47	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0.5	3648	1000
48	7	0.1	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0.75	3649	1000
