scenario	t	delta	alpha0	rho0	rho1	alpha1	n	l	m	bs	tot.var	CV.l	CV.m	seed	niteration
1	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0	7666	1000
2	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0.25	6666	1000
3	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0.5	6665	1000
4	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	0.75	6664	1000
5	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0	1	6663	1000
6	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0	6662	1000
7	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0.25	6661	1000
8	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0.5	6660	1000
9	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	0.75	6659	1000
10	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.25	1	6658	1000
11	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0	6657	1000
12	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0.25	6656	1000
13	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0.5	6655	1000
14	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	0.75	6654	1000
15	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.5	1	6653	1000
16	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.75	0	6652	1000
17	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.75	0.25	6651	1000
18	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.75	0.5	6650	1000
19	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.75	0.75	6649	1000
20	4	0	0.1	0.025	0.0125	0.05	12	2	7	0	1	0.75	1	6648	1000
21	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0	7665	1000
22	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0.25	5665	1000
23	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0.5	5664	1000
24	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	0.75	5663	1000
25	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0	1	5662	1000
26	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0	5661	1000
27	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0.25	5660	1000
28	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0.5	5659	1000
29	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	0.75	5658	1000
30	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.25	1	5657	1000
31	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0	5656	1000
32	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0.25	5655	1000
33	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0.5	5654	1000
34	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	0.75	5653	1000
35	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.5	1	5652	1000
36	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.75	0	5651	1000
37	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.75	0.25	5650	1000
38	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.75	0.5	5649	1000
39	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.75	0.75	5648	1000
40	5	0	0.01	0.0025	0.00125	0.005	12	2	5	0	1	0.75	1	5647	1000
41	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0	7645	1000
42	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0.25	4645	1000
43	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0.5	4644	1000
44	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	0.75	4643	1000
45	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0	1	4642	1000
46	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0	4641	1000
47	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0.25	4640	1000
48	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0.5	4639	1000
49	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	0.75	4638	1000
50	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.25	1	4637	1000
51	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0	4636	1000
52	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0.25	4635	1000
53	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0.5	4634	1000
54	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	0.75	4633	1000
55	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.5	1	4632	1000
56	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.75	0	4631	1000
57	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.75	0.25	4630	1000
58	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.75	0.5	4629	1000
59	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.75	0.75	4628	1000
60	6	0	0.03	0.0075	0.00375	0.015	15	3	10	0	1	0.75	1	4627	1000
61	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0	7639	1000
62	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0.25	3639	1000
63	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0.5	3638	1000
64	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	0.75	3637	1000
65	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0	1	3636	1000
66	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0	3635	1000
67	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0.25	3634	1000
68	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0.5	3633	1000
69	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	0.75	3632	1000
70	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.25	1	3631	1000
71	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0	3630	1000
72	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0.25	3629	1000
73	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0.5	3628	1000
74	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	0.75	3627	1000
75	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.5	1	3626	1000
76	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.75	0	3625	1000
77	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.75	0.25	3624	1000
78	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.75	0.5	3623	1000
79	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.75	0.75	3622	1000
80	7	0	0.03	0.0075	0.00375	0.015	24	6	15	0	1	0.75	1	3621	1000
