scenario	n	l	m	t	delta	bs	alpha0	rho0	rho1	alpha1	tot.var	seed	niteration
1	24	6	15	7	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
2	30	6	15	4	0	0	0.01	0.0025	0.0013	0.005	1	7638	1000
3	24	5	10	7	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
4	24	6	10	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
5	18	3	12	7	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
6	18	3	15	4	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
7	15	3	10	6	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
8	12	6	10	4	0	0	0.01	0.0025	0.0013	0.005	1	7638	1000
9	10	4	10	6	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
10	21	4	10	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
11	18	2	10	7	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
12	15	4	8	4	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
13	12	2	10	7	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
14	24	2	8	4	0	0	0.01	0.0025	0.0013	0.005	1	7638	1000
15	10	3	9	6	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
16	12	4	9	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
17	10	3	8	6	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
18	9	3	12	4	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
19	16	2	5	5	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
20	9	3	9	4	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
21	8	3	7	5	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
22	18	2	7	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
23	12	2	8	5	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
24	9	3	8	4	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
25	8	3	7	5	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
26	15	2	5	4	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
27	12	2	5	5	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
28	12	2	7	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
29	12	2	4	5	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
30	9	2	8	4	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
31	28	2	100	5	0	0	0.03	0.0075	0.0038	0.015	1	7638	1000
32	21	3	70	4	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
33	21	3	75	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
34	8	3	100	5	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
35	8	2	50	5	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
36	15	3	50	4	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
37	9	2	75	4	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
38	10	2	50	3	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
39	16	2	75	3	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
40	12	2	25	3	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
41	10	2	25	3	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
42	14	2	50	3	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
43	10	2	25	3	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
44	8	2	25	3	0	0	0.01	0.0025	0.00125	0.005	1	7638	1000
45	8	3	40	3	0	0	0.1	0.025	0.0125	0.05	1	7638	1000
46	8	2	20	3	0	0	0.03	0.0075	0.00375	0.015	1	7638	1000
