scenario	n	l	m	t	exp.delta	bs	alpha0	rho0	rho1	alpha1	seed	niteration
1	18	6	15	7	0.8	0.7	0.03	0.0075	0.00375	0.015	3957	1000
2	27	6	15	4	0.8	0.7	0.01	0.0025	0.00125	0.005	3957	1000
3	25	4	12	6	0.8	0.7	0.01	0.0025	0.00125	0.005	3957	1000
4	25	6	15	6	0.75	0.7	0.1	0.025	0.0125	0.05	3957	1000
5	24	5	15	7	0.75	0.7	0.1	0.025	0.0125	0.05	3957	1000
6	27	5	12	4	0.75	0.7	0.03	0.0075	0.00375	0.015	3957	1000
7	30	3	10	6	0.75	0.7	0.03	0.0075	0.00375	0.015	3957	1000
8	21	6	10	4	0.75	0.7	0.01	0.0025	0.00125	0.005	3957	1000
9	12	4	15	7	0.75	0.7	0.01	0.0025	0.00125	0.005	3957	1000
10	30	5	14	4	0.7	0.7	0.1	0.025	0.0125	0.05	3957	1000
11	18	4	15	7	0.7	0.7	0.1	0.025	0.0125	0.05	3957	1000
12	18	6	10	4	0.7	0.7	0.03	0.0075	0.00375	0.015	3957	1000
13	15	3	15	6	0.7	0.7	0.03	0.0075	0.00375	0.015	3957	1000
14	18	4	12	4	0.7	0.7	0.01	0.0025	0.00125	0.005	3957	1000
15	20	2	15	5	0.7	0.7	0.01	0.0025	0.00125	0.005	3957	1000
16	21	6	12	4	0.65	0.7	0.1	0.025	0.0125	0.05	3957	1000
17	18	3	12	7	0.65	0.7	0.1	0.025	0.0125	0.05	3957	1000
18	24	3	10	4	0.65	0.7	0.03	0.0075	0.00375	0.015	3957	1000
19	20	2	10	6	0.65	0.7	0.03	0.0075	0.00375	0.015	3957	1000
20	15	4	10	4	0.65	0.7	0.01	0.0025	0.00125	0.005	3957	1000
21	12	3	14	5	0.65	0.7	0.01	0.0025	0.00125	0.005	3957	1000
22	18	5	10	4	0.6	0.7	0.1	0.025	0.0125	0.05	3957	1000
23	12	3	15	7	0.6	0.7	0.1	0.025	0.0125	0.05	3957	1000
24	16	2	12	5	0.6	0.7	0.03	0.0075	0.00375	0.015	3957	1000
25	15	2	10	6	0.6	0.7	0.03	0.0075	0.00375	0.015	3957	1000
26	21	2	10	4	0.6	0.7	0.01	0.0025	0.00125	0.005	3957	1000
27	12	3	8	5	0.6	0.7	0.01	0.0025	0.00125	0.005	3957	1000
28	15	3	10	4	0.5	0.7	0.1	0.025	0.0125	0.05	3957	1000
29	16	2	9	5	0.5	0.7	0.1	0.025	0.0125	0.05	3957	1000
30	15	2	9	4	0.5	0.7	0.03	0.0075	0.00375	0.015	3957	1000
31	30	4	100	6	0.8	0.7	0.1	0.025	0.0125	0.05	3957	1000
32	24	2	100	5	0.8	0.7	0.03	0.0075	0.00375	0.015	3957	1000
33	15	3	75	4	0.8	0.7	0.01	0.0025	0.00125	0.005	3957	1000
34	28	3	75	5	0.75	0.7	0.1	0.025	0.0125	0.05	3957	1000
35	16	2	80	5	0.75	0.7	0.03	0.0075	0.00375	0.015	3957	1000
36	12	3	55	4	0.75	0.7	0.01	0.0025	0.00125	0.005	3957	1000
37	24	3	100	4	0.7	0.7	0.1	0.025	0.0125	0.05	3957	1000
38	12	2	75	5	0.7	0.7	0.03	0.0075	0.00375	0.015	3957	1000
39	12	2	50	4	0.7	0.7	0.01	0.0025	0.00125	0.005	3957	1000
40	18	3	75	4	0.65	0.7	0.1	0.025	0.0125	0.05	3957	1000
41	8	3	50	5	0.65	0.7	0.03	0.0075	0.00375	0.015	3957	1000
42	9	2	50	4	0.65	0.7	0.01	0.0025	0.00125	0.005	3957	1000
43	18	2	50	4	0.6	0.7	0.1	0.025	0.0125	0.05	3957	1000
44	9	2	60	4	0.6	0.7	0.03	0.0075	0.00375	0.015	3957	1000
45	10	2	50	3	0.6	0.7	0.01	0.0025	0.00125	0.005	3957	1000
46	16	2	50	3	0.5	0.7	0.1	0.025	0.0125	0.05	3957	1000
47	12	2	25	3	0.5	0.7	0.03	0.0075	0.00375	0.015	3957	1000
48	10	2	25	3	0.5	0.7	0.01	0.0025	0.00125	0.005	3957	1000
												
